,Test Set values
1265,-1960.5101422222215
1266,-3099.127246111111
1267,-3050.9385383333356
1268,-1690.9441597222212
1269,-1161.0300225000012
1270,-585.417912888888
1271,171.91635088888887
1272,623.0059289999988
1273,311.4093992222225
1274,-801.1263108888868
1275,1915.2612385000007
1276,2153.560885333333
1277,1921.3390813888905
1278,1011.8034705555509
1279,1663.558263888888
1280,-501.4088894444431
1281,-625.8504527777804
1282,-411.30626499999545
1283,-399.61492666666544
1284,5159.474380000001
1285,1816.4525616666654
1286,-212.25921277777508
1287,-36.381079444450684
1288,-1241.996752777777
1289,-2720.1530877777727
1290,-3199.4361516666686
1291,-3175.840101111109
1292,-1883.7233526666678
1293,-1125.428523944447
1294,-569.6514159999986
1295,-26.74497400000119
1296,646.1617653333345
1297,491.5013838888902
1298,-661.8475323888905
1299,1064.4078886666666
1300,2105.817353444447
1301,1722.438456666663
1302,1251.5957857222204
1303,577.5770953888931
1304,-146.8789733333326
1305,-205.06736483333586
1306,-264.7689769999999
1307,167.75858272222112
1308,5477.210974555561
1309,2064.3909661111106
1310,-352.78620666666745
1311,-350.8254100000013
1312,-1222.360839999998
1313,-2715.881431666669
1314,-3352.3464783333325
1315,-2761.2960955555573
1316,-1997.4095444444429
1317,-1164.3222646111117
1318,-540.3791579444443
1319,-95.56846977777947
1320,712.4643172777776
1321,696.4412986666683
1322,-626.0997684444463
1323,1044.316171722223
1324,1901.1345619444435
1325,1698.460586333335
1326,1067.552267500003
1327,793.5190869999968
1328,-68.16092949999802
1329,-145.20084127777943
1330,-229.74895633333296
1331,220.20187816666677
1332,5384.611907055558
1333,1990.1828205555505
1334,-61.66047999999881
1335,-89.36870277777803
1336,-1184.1614994444428
1337,-2589.501035555557
1338,-3680.0419711111062
1339,-2941.4952927777813
1340,-1849.0619712222215
1341,-1187.5192883888903
1342,-537.5404097222219
1343,21.04225549999862
1344,682.9340347222242
1345,481.6320646111107
1346,-632.7660024444433
1347,1012.7234123888906
1348,1982.603217499997
1349,1727.1481139444445
1350,896.4833450555559
1351,861.7160691666688
1352,43.32993555555391
1353,-22.69993222221795
1354,183.2898221666617
1355,277.0071885000034
1356,5178.087704888882
1357,1776.255048888892
1358,-274.52767888888786
1359,2.66414222221985
1360,-1283.1229827777752
1361,-2636.2024927777784
1362,-3478.908099444445
1363,-2780.5711461111127
1364,-1960.2816782777736
1365,-1104.2873436111147
1366,-750.9748894999992
1367,-63.55256016666683
1368,553.1335755555557
1369,683.1957347777806
1370,-695.2715392222256
1371,924.0463752222262
1372,2192.757297388886
1373,1656.8397981111123
1374,1101.320343277781
1375,-240.55690238889278
1376,195.57084438889083
1377,-180.30432411111568
1378,75.03983000000494
1379,34.479892222221835
1380,5161.267429111111
1381,1836.2063788888877
1382,-188.52145888888828
1383,-80.9614044444459
1384,-1199.9332205555547
1385,-2297.044874444444
1386,-2886.2489172222263
1387,-3021.1300094444377
1388,-1970.0349335000026
1389,-1408.414564222221
1390,-659.3356538333338
1391,-181.72692900000024
1392,511.3827872222226
1393,285.1024676111118
1394,-1435.6283563888883
1395,1187.9828243888876
1396,2481.912397833332
1397,2267.4508260555554
1398,992.5156975000024
1399,243.8198913888847
1400,131.2460160555568
1401,-142.58843177777464
1402,-427.4745213888892
1403,129.17090961110827
1404,5093.409586888891
1405,2036.5452116666636
1406,-51.98414166666419
1407,-296.7699299999985
1408,-1028.2607494444492
1409,-1739.2390827777745
1410,-3063.200603333331
1411,-2981.399617222225
1412,-2038.0508462777761
1413,-1209.2718093888907
1414,-844.7053939999984
1415,-195.28313227777815
1416,359.8405989444455
1417,46.23940294444193
1418,-2506.2212313333316
1419,585.6163431666646
1420,2309.6279438333354
1421,2132.8164774999987
1422,1554.6017100555582
1423,835.4614614999953
1424,121.78601127777816
1425,-90.29734361110982
1426,-199.3536084444425
1427,156.5201458888877
1428,5130.845460777775
1429,2329.742340000005
1430,370.93948222222366
1431,85.82593944443946
1432,-1308.986312777779
1433,-2011.5926205555515
1434,-3308.512106111113
1435,-2889.2868544444427
1436,-1880.200250611113
1437,-1048.9129469444451
1438,-359.52518444444263
1439,64.80754927777863
1440,564.5893307222194
1441,739.4631940000019
1442,-658.1470790000003
1443,1036.7965988888882
1444,1942.5598239999995
1445,1752.6186416111125
1446,1102.541187499999
1447,650.8927713888881
1448,-224.13585844444222
1449,-148.05082883333696
1450,-169.61221655555343
1451,193.35448661111496
1452,5686.605621388888
1453,2302.308383888885
1454,-316.43307333333337
1455,-399.08756222222297
1456,-1502.1011199999957
1457,-2505.6990811111136
1458,-3445.8985866666662
1459,-3003.3143383333336
1460,-1901.480382777776
1461,-876.9046810555575
1462,-512.6171924444443
1463,-147.42543577777738
1464,416.16719155555614
1465,1004.8064890555559
1466,-791.3953683888905
1467,1011.1350508888902
1468,2039.7496594444415
1469,1516.6738137777793
1470,1127.6025742222228
1471,518.3604420000013
1472,-105.39287166667049
1473,-63.26607649999998
1474,-240.29349099999658
1475,340.8439427222218
1476,5684.684684277778
1477,2292.7296577777747
1478,-365.23361444444527
1479,-380.5394655555537
1480,-1193.118122777774
1481,-2758.264297777776
1482,-3608.2060794444515
1483,-2862.532714444442
1484,-2426.999910499999
1485,-813.7373150000006
1486,-455.2362616666686
1487,-90.36330622222184
1488,598.7610611666676
1489,858.5520092777788
1490,-693.7723658333344
1491,942.9440264444456
1492,2161.187273222222
1493,1771.270676999996
1494,1135.2616029444468
1495,591.7166999444453
1496,-110.02835794444377
1497,-124.41250233333282
1498,-235.62801855555887
1499,85.03966383333302
1500,5555.2324142222205
1501,2271.6360166666705
1502,-211.51688555555657
1503,-212.3468811111088
1504,-1490.0487744444436
1505,-2520.1308055555564
1506,-3579.476896666671
1507,-2856.601415555553
1508,-1903.8528744444445
1509,-1241.6551761111095
1510,-448.77609094444574
1511,14.105922833332647
1512,474.2965938888883
1513,841.5878323888898
1514,-940.4049268888901
1515,632.3813898333337
1516,1884.7322806666702
1517,1622.9746695555511
1518,1235.5839636666674
1519,737.7759773888866
1520,9.042455166665768
1521,-67.52745161110919
1522,-278.98557933332967
1523,276.0803566666693
1524,5359.169591722217
1525,2156.62411666667
1526,-203.0794788888924
1527,-328.2271277777761
1528,-1196.0096138888875
1529,-2520.487734444443
1530,-3368.587379444445
1531,-2856.522855000003
1532,-2171.5423162222214
1533,-1096.985566055555
1534,-447.0719993333333
1535,-89.31227272222169
1536,446.57296349999683
1537,875.4056651111117
1538,-840.8690378333323
1539,898.4299746666676
1540,1943.5119965000008
1541,1805.6254403333294
1542,1184.9566822777774
1543,-168.91537827777597
1544,163.333431000003
1545,-157.3965857777804
1546,-143.11242383333217
1547,34.73063505555543
1548,5198.008231611108
1549,2575.9014205555586
1550,-84.16021111111348
1551,103.30818055555572
1552,-1118.2468394444438
1553,-2218.1809211111104
1554,-3006.8097238888877
1555,-3230.408796111111
1556,-2013.9621994444424
1557,-1283.6106858888888
1558,-756.5599976111134
1559,-203.9573369444443
1560,597.5753353888888
1561,647.7762417777774
1562,-1578.226480277779
1563,697.598307944447
1564,2695.997586611111
1565,2451.542475444443
1566,1325.5377951666703
1567,217.31991394444034
1568,-367.79180333333375
1569,27.637946666669624
1570,-476.21832222222264
1571,-227.46313611110938
1572,5434.148204444442
1573,2606.6161633333318
1574,-132.2802616666668
1575,-439.8046277777759
1576,-1333.6797333333343
1577,-1946.2261455555563
1578,-2693.7909450000006
1579,-3142.0188366666657
1580,-2364.5570727777776
1581,-1517.0042437777759
1582,-540.5847821666665
1583,-232.51332761111018
1584,198.27225444444218
1585,64.83906305555341
1586,-2575.119881111106
1587,694.2180027222221
1588,2175.1223480555545
1589,2417.6789668888873
1590,1446.9793695000005
1591,807.7608316666665
1592,158.57295888888999
1593,-57.80870222222447
1594,-457.71157883333206
1595,-163.75272644444328
1596,5107.212774166666
1597,2920.6733544444423
1598,540.4411688888905
1599,126.44927444444352
1600,-1178.0839933333334
1601,-2177.4700666666613
1602,-3034.5629500000036
1603,-2892.9170411111118
1604,-2005.7559516666697
1605,-1123.9292533888856
1606,-400.8519987222226
1607,-103.33484127777767
1608,619.0798886111099
1609,1067.9826478888915
1610,-738.3585807222222
1611,710.6870596666631
1612,1832.9387802777778
1613,2172.856536666666
1614,1146.4348436111138
1615,575.7750436666685
1616,204.07177427777415
1617,-78.0047449999982
1618,-244.26714261111206
1619,13.179283999998132
1620,5144.911027499998
1621,2356.04643944445
1622,-411.5798716666687
1623,-232.68016333333057
1624,-1282.0246750000042
1625,-2773.084111111107
1626,-3376.6888522222253
1627,-2930.974231666667
1628,-1979.8104588888891
1629,-1017.2940469999994
1630,-465.95417172222164
1631,-194.80579044444326
1632,587.7635563888889
1633,930.9355927222203
1634,-898.9227983333329
1635,851.2401077777794
1636,2190.63691938889
1637,1888.5665044444395
1638,1095.7069928888923
1639,996.6599114444432
1640,402.9209096666674
1641,-71.31544444444425
1642,-143.30324166666838
1643,-399.53786777777736
1644,4847.315581666666
1645,2406.2477733333358
1646,-263.0979616666702
1647,-337.8701544444409
1648,-1538.0232211111106
1649,-2533.09401055556
1650,-3364.2647955555512
1651,-2962.794112222222
1652,-2091.028143833337
1653,-1138.8420261111075
1654,-507.6336300000022
1655,-104.03664872222181
1656,573.3281861666694
1657,1011.0407198888842
1658,-506.0087633333314
1659,923.2371121666657
1660,2261.5040138888908
1661,1889.9206449444432
1662,1745.480619388891
1663,533.6301105555576
1664,-180.62733111111064
1665,-339.80999555555513
1666,-213.89769055555712
1667,93.27159222222305
1668,4881.3783677777765
1669,2214.2283227777775
1670,-384.55577222221814
1671,-177.74984555555807
1672,-1443.8358683333354
1673,-2445.558898333329
1674,-3641.6303027777794
1675,-2914.485223333333
1676,-2017.8866188888896
1677,-1097.9552706111135
1678,-572.5864822777766
1679,-90.1635839444444
1680,593.7554481111113
1681,1021.7519518888894
1682,-887.8083609444441
1683,743.4393931666635
1684,2055.884312444446
1685,2000.0162359444441
1686,1173.6938773333354
1687,790.7491498888883
1688,89.50259177777838
1689,-186.481027222224
1690,3.4943217222207603
1691,151.92209866666954
1692,4956.360167944445
1693,2050.148663888889
1694,-438.60769777778114
1695,-84.33560833332753
1696,-990.4957461111154
1697,-2352.7294749999965
1698,-3502.7718349999996
1699,-2996.741364444446
1700,-1978.741573055555
1701,-1345.891151944448
1702,-564.890752555553
1703,-219.492702833333
1704,522.976116111111
1705,968.404442499999
1706,-817.605405055554
1707,641.489444555555
1708,2135.2479757777796
1709,1886.8116831666669
1710,1344.6745562777726
1711,-196.95393188888534
1712,75.61178072222557
1713,-168.06870750000218
1714,-287.80163272222467
1715,-118.18776255555355
1716,4764.715407111108
1717,3062.850587222227
1718,-335.4821327777788
1719,-111.21400666666909
1720,-984.798431111107
1721,-2238.350012222225
1722,-2506.2889377777756
